# Mvir[M_sun/h] sigma(M,0) sigma(0.5M,0) z D(z) D(z_f,peak) c_vir_sim c_vir_eps c_vir_eps2
2.142000e+14 0.793396 0.927016 0.0000 1.000000 0.752444 6.092795 6.499964 5.891966
2.002000e+14 0.805889 0.940698 0.0000 1.000000 0.749745 6.142726 6.562731 5.940735
1.302000e+14 0.888132 1.030480 0.0000 1.000000 0.732947 6.468336 6.974330 6.258590
1.120000e+14 0.918024 1.062996 0.0000 1.000000 0.727223 6.585390 7.123218 6.372775
1.012000e+14 0.938478 1.085211 0.0000 1.000000 0.723414 6.665108 7.224878 6.450509
9.870000e+13 0.943563 1.090730 0.0000 1.000000 0.722480 6.684876 7.250122 6.469782
9.636000e+13 0.948456 1.096039 0.0000 1.000000 0.721585 6.703881 7.274402 6.488310
9.304000e+13 0.955633 1.103822 0.0000 1.000000 0.720283 6.731734 7.310002 6.515456
8.346000e+13 0.978069 1.128137 0.0000 1.000000 0.716270 6.818537 7.421128 6.600056
7.946000e+13 0.988307 1.139222 0.0000 1.000000 0.714470 6.858030 7.471765 6.638534
7.432000e+13 1.002345 1.154411 0.0000 1.000000 0.712032 6.912061 7.541122 6.691168
7.413000e+13 1.002885 1.154995 0.0000 1.000000 0.711939 6.914137 7.543788 6.693191
7.289000e+13 1.006444 1.158845 0.0000 1.000000 0.711326 6.927806 7.561353 6.706508
7.245000e+13 1.007724 1.160228 0.0000 1.000000 0.711107 6.932728 7.567675 6.711297
7.014000e+13 1.014587 1.167648 0.0000 1.000000 0.709933 6.959064 7.601532 6.736947
6.891000e+13 1.018345 1.171710 0.0000 1.000000 0.709294 6.973470 7.620062 6.750979
6.874000e+13 1.018871 1.172277 0.0000 1.000000 0.709206 6.975494 7.622661 6.752943
6.514000e+13 1.030349 1.184678 0.0000 1.000000 0.707269 7.019431 7.679215 6.795728
6.497000e+13 1.030908 1.185282 0.0000 1.000000 0.707175 7.021567 7.681967 6.797809
6.463000e+13 1.032032 1.186496 0.0000 1.000000 0.706986 7.025864 7.687502 6.801993
6.257000e+13 1.038985 1.194004 0.0000 1.000000 0.705825 7.052426 7.721726 6.827857
6.108000e+13 1.044176 1.199606 0.0000 1.000000 0.704965 7.072245 7.747270 6.847143
5.955000e+13 1.049655 1.205518 0.0000 1.000000 0.704061 7.093138 7.774216 6.867479
5.928000e+13 1.050638 1.206579 0.0000 1.000000 0.703898 7.096882 7.779046 6.871125
5.835000e+13 1.054063 1.210274 0.0000 1.000000 0.703336 7.109928 7.795880 6.883821
5.774000e+13 1.056343 1.212733 0.0000 1.000000 0.702963 7.118611 7.807085 6.892270
5.496000e+13 1.067084 1.224316 0.0000 1.000000 0.701213 7.159452 7.859829 6.932020
5.048000e+13 1.085734 1.244412 0.0000 1.000000 0.698219 7.230190 7.951294 7.000842
4.978000e+13 1.088814 1.247729 0.0000 1.000000 0.697729 7.241850 7.966384 7.012183
4.925000e+13 1.091178 1.250275 0.0000 1.000000 0.697354 7.250793 7.977962 7.020884
4.919000e+13 1.091448 1.250565 0.0000 1.000000 0.697312 7.251819 7.979288 7.021878
4.898000e+13 1.092394 1.251584 0.0000 1.000000 0.697162 7.255395 7.983919 7.025360
4.572000e+13 1.107684 1.268042 0.0000 1.000000 0.694759 7.313140 8.058737 7.081527
4.564000e+13 1.108074 1.268461 0.0000 1.000000 0.694699 7.314615 8.060647 7.082957
4.459000e+13 1.113269 1.274050 0.0000 1.000000 0.693890 7.334198 8.086043 7.102001
4.385000e+13 1.117012 1.278076 0.0000 1.000000 0.693310 7.348297 8.104333 7.115712
4.262000e+13 1.123392 1.284936 0.0000 1.000000 0.692327 7.372313 8.135499 7.139060
4.222000e+13 1.125510 1.287214 0.0000 1.000000 0.692000 7.380273 8.145836 7.146801
4.164000e+13 1.128623 1.290559 0.0000 1.000000 0.691524 7.391984 8.161038 7.158181
4.089000e+13 1.132719 1.294962 0.0000 1.000000 0.690898 7.407369 8.181022 7.173138
3.999000e+13 1.137746 1.300364 0.0000 1.000000 0.690133 7.426239 8.205542 7.191482
3.963000e+13 1.139792 1.302563 0.0000 1.000000 0.689821 7.433910 8.215515 7.198942
3.962000e+13 1.139849 1.302624 0.0000 1.000000 0.689813 7.434125 8.215794 7.199149
3.924000e+13 1.142032 1.304969 0.0000 1.000000 0.689483 7.442313 8.226437 7.207105
3.904000e+13 1.143191 1.306214 0.0000 1.000000 0.689307 7.446659 8.232087 7.211332
3.897000e+13 1.143598 1.306651 0.0000 1.000000 0.689246 7.448186 8.234071 7.212813
3.892000e+13 1.143889 1.306964 0.0000 1.000000 0.689202 7.449274 8.235488 7.213875
3.886000e+13 1.144239 1.307339 0.0000 1.000000 0.689150 7.450592 8.237198 7.215149
3.800000e+13 1.149322 1.312799 0.0000 1.000000 0.688383 7.469630 8.261961 7.233656
3.678000e+13 1.156755 1.320781 0.0000 1.000000 0.687269 7.497441 8.298152 7.260687
3.674000e+13 1.157004 1.321047 0.0000 1.000000 0.687232 7.498380 8.299371 7.261593
3.464000e+13 1.170479 1.335510 0.0000 1.000000 0.685231 7.548707 8.364917 7.310497
3.376000e+13 1.176398 1.341859 0.0000 1.000000 0.684360 7.570786 8.393689 7.331943
3.354000e+13 1.177904 1.343475 0.0000 1.000000 0.684139 7.576394 8.401003 7.337395
3.343000e+13 1.178661 1.344287 0.0000 1.000000 0.684028 7.579214 8.404680 7.340134
3.324000e+13 1.179976 1.345697 0.0000 1.000000 0.683835 7.584116 8.411070 7.344895
3.301000e+13 1.181578 1.347415 0.0000 1.000000 0.683601 7.590083 8.418851 7.350689
3.208000e+13 1.188185 1.354500 0.0000 1.000000 0.682637 7.614669 8.450926 7.374573
3.200000e+13 1.188763 1.355120 0.0000 1.000000 0.682553 7.616817 8.453730 7.376661
3.123000e+13 1.194412 1.361175 0.0000 1.000000 0.681734 7.637821 8.481142 7.397060
3.122000e+13 1.194486 1.361254 0.0000 1.000000 0.681724 7.638098 8.481502 7.397326
3.051000e+13 1.199835 1.366986 0.0000 1.000000 0.680952 7.657969 8.507445 7.416620
3.046000e+13 1.200217 1.367396 0.0000 1.000000 0.680897 7.659383 8.509294 7.417998
3.045000e+13 1.200293 1.367477 0.0000 1.000000 0.680886 7.659668 8.509665 7.418270
3.044000e+13 1.200370 1.367559 0.0000 1.000000 0.680876 7.659957 8.510040 7.418550
3.010000e+13 1.202986 1.370363 0.0000 1.000000 0.680499 7.669659 8.522717 7.427975
2.987000e+13 1.204775 1.372280 0.0000 1.000000 0.680242 7.676295 8.531386 7.434420
2.918000e+13 1.210234 1.378128 0.0000 1.000000 0.679461 7.696534 8.557834 7.454073
2.864000e+13 1.214607 1.382811 0.0000 1.000000 0.678838 7.712738 8.579014 7.469804
2.861000e+13 1.214852 1.383074 0.0000 1.000000 0.678803 7.713641 8.580197 7.470683
2.816000e+13 1.218571 1.387056 0.0000 1.000000 0.678275 7.727411 8.598202 7.484051
2.800000e+13 1.219909 1.388488 0.0000 1.000000 0.678086 7.732366 8.604680 7.488859
2.765000e+13 1.222865 1.391653 0.0000 1.000000 0.677668 7.743299 8.618982 7.499472
2.760000e+13 1.223290 1.392109 0.0000 1.000000 0.677607 7.744864 8.621033 7.500995
2.638000e+13 1.233949 1.403517 0.0000 1.000000 0.676109 7.784247 8.672576 7.539222
2.548000e+13 1.242167 1.412310 0.0000 1.000000 0.674963 7.814557 8.712275 7.568642
2.535000e+13 1.243380 1.413608 0.0000 1.000000 0.674794 7.819025 8.718130 7.572980
2.499000e+13 1.246777 1.417240 0.0000 1.000000 0.674324 7.831550 8.734538 7.585129
2.456000e+13 1.250904 1.421655 0.0000 1.000000 0.673752 7.846737 8.754449 7.599871
2.425000e+13 1.253930 1.424890 0.0000 1.000000 0.673335 7.857876 8.769052 7.610677
2.416000e+13 1.254817 1.425838 0.0000 1.000000 0.673213 7.861142 8.773333 7.613846
2.407000e+13 1.255707 1.426790 0.0000 1.000000 0.673091 7.864413 8.777623 7.617021
2.377000e+13 1.258700 1.429990 0.0000 1.000000 0.672679 7.875416 8.792056 7.627698
2.364000e+13 1.260010 1.431391 0.0000 1.000000 0.672499 7.880227 8.798369 7.632369
2.255000e+13 1.271318 1.443476 0.0000 1.000000 0.670957 7.921750 8.852860 7.672651
2.205000e+13 1.276707 1.449234 0.0000 1.000000 0.670226 7.941507 8.878805 7.691818
2.186000e+13 1.278791 1.451460 0.0000 1.000000 0.669945 7.949145 8.888837 7.699226
2.129000e+13 1.285163 1.458266 0.0000 1.000000 0.669086 7.972477 8.919493 7.721858
2.115000e+13 1.286756 1.459968 0.0000 1.000000 0.668872 7.978301 8.927151 7.727509
2.109000e+13 1.287443 1.460701 0.0000 1.000000 0.668780 7.980819 8.930458 7.729947
2.079000e+13 1.290909 1.464401 0.0000 1.000000 0.668317 7.993502 8.947127 7.742243
2.069000e+13 1.292076 1.465648 0.0000 1.000000 0.668160 7.997762 8.952732 7.746380
2.049000e+13 1.294429 1.468160 0.0000 1.000000 0.667846 8.006363 8.964041 7.754720
1.975000e+13 1.303362 1.477695 0.0000 1.000000 0.666658 8.038984 9.006953 7.786353
1.913000e+13 1.311134 1.485989 0.0000 1.000000 0.665631 8.067321 9.044254 7.813833
1.907000e+13 1.311901 1.486807 0.0000 1.000000 0.665531 8.070118 9.047935 7.816543
1.889000e+13 1.314217 1.489278 0.0000 1.000000 0.665226 8.078554 9.059045 7.824721
1.889000e+13 1.314217 1.489278 0.0000 1.000000 0.665226 8.078554 9.059045 7.824721
1.887000e+13 1.314476 1.489554 0.0000 1.000000 0.665192 8.079500 9.060289 7.825637
1.869000e+13 1.316820 1.492054 0.0000 1.000000 0.664885 8.088039 9.071533 7.833915
1.827000e+13 1.322385 1.497990 0.0000 1.000000 0.664157 8.108288 9.098211 7.853547
1.823000e+13 1.322923 1.498564 0.0000 1.000000 0.664086 8.110243 9.100789 7.855445
1.803000e+13 1.325629 1.501450 0.0000 1.000000 0.663733 8.120082 9.113755 7.864982
1.796000e+13 1.326584 1.502468 0.0000 1.000000 0.663609 8.123556 9.118332 7.868348
1.793000e+13 1.326995 1.502906 0.0000 1.000000 0.663556 8.125052 9.120303 7.869798
1.743000e+13 1.333950 1.510322 0.0000 1.000000 0.662653 8.150313 9.153609 7.894287
1.724000e+13 1.336651 1.513201 0.0000 1.000000 0.662304 8.160119 9.166541 7.903793
1.723000e+13 1.336794 1.513353 0.0000 1.000000 0.662286 8.160641 9.167228 7.904296
1.686000e+13 1.342152 1.519064 0.0000 1.000000 0.661595 8.180075 9.192866 7.923129
1.659000e+13 1.346144 1.523318 0.0000 1.000000 0.661083 8.194546 9.211962 7.937154
1.657000e+13 1.346442 1.523636 0.0000 1.000000 0.661044 8.195622 9.213384 7.938199
1.634000e+13 1.349904 1.527324 0.0000 1.000000 0.660601 8.208168 9.229942 7.950353
1.626000e+13 1.351120 1.528620 0.0000 1.000000 0.660446 8.212568 9.235752 7.954619
1.616000e+13 1.352650 1.530250 0.0000 1.000000 0.660250 8.218107 9.243066 7.959986
1.613000e+13 1.353111 1.530742 0.0000 1.000000 0.660191 8.219770 9.245264 7.961602
1.601000e+13 1.354964 1.532716 0.0000 1.000000 0.659955 8.226476 9.254119 7.968099
1.601000e+13 1.354964 1.532716 0.0000 1.000000 0.659955 8.226476 9.254119 7.968099
1.600000e+13 1.355120 1.532881 0.0000 1.000000 0.659936 8.227048 9.254871 7.968648
1.596000e+13 1.355741 1.533543 0.0000 1.000000 0.659856 8.229292 9.257835 7.970824
1.593000e+13 1.356209 1.534041 0.0000 1.000000 0.659797 8.230989 9.260074 7.972467
1.573000e+13 1.359349 1.537386 0.0000 1.000000 0.659398 8.242342 9.275072 7.983471
1.573000e+13 1.359349 1.537386 0.0000 1.000000 0.659398 8.242342 9.275072 7.983471
1.572000e+13 1.359507 1.537555 0.0000 1.000000 0.659377 8.242908 9.275823 7.984023
1.561000e+13 1.361254 1.539416 0.0000 1.000000 0.659155 8.249222 9.284165 7.990143
1.551000e+13 1.362854 1.541120 0.0000 1.000000 0.658952 8.255004 9.291805 7.995745
1.543000e+13 1.364143 1.542492 0.0000 1.000000 0.658790 8.259667 9.297963 8.000258
1.540000e+13 1.364628 1.543008 0.0000 1.000000 0.658729 8.261423 9.300281 8.001957
1.538000e+13 1.364952 1.543353 0.0000 1.000000 0.658688 8.262593 9.301828 8.003091
1.531000e+13 1.366089 1.544564 0.0000 1.000000 0.658544 8.266699 9.307255 8.007069
1.528000e+13 1.366578 1.545085 0.0000 1.000000 0.658482 8.268463 9.309587 8.008780
1.527000e+13 1.366741 1.545259 0.0000 1.000000 0.658461 8.269048 9.310363 8.009351
1.516000e+13 1.368545 1.547179 0.0000 1.000000 0.658234 8.275569 9.318978 8.015662
1.514000e+13 1.368875 1.547530 0.0000 1.000000 0.658192 8.276763 9.320554 8.016818
1.498000e+13 1.371528 1.550355 0.0000 1.000000 0.657858 8.286336 9.333211 8.026094
1.494000e+13 1.372196 1.551067 0.0000 1.000000 0.657773 8.288741 9.336394 8.028428
1.479000e+13 1.374719 1.553753 0.0000 1.000000 0.657456 8.297842 9.348428 8.037245
1.465000e+13 1.377100 1.556287 0.0000 1.000000 0.657158 8.306432 9.359786 8.045565
1.455000e+13 1.378816 1.558113 0.0000 1.000000 0.656943 8.312622 9.367971 8.051559
1.451000e+13 1.379505 1.558847 0.0000 1.000000 0.656857 8.315101 9.371252 8.053962
1.424000e+13 1.384217 1.563862 0.0000 1.000000 0.656268 8.332076 9.393711 8.070408
1.416000e+13 1.385632 1.565367 0.0000 1.000000 0.656092 8.337177 9.400457 8.075342
1.396000e+13 1.389208 1.569172 0.0000 1.000000 0.655648 8.350050 9.417494 8.087810
1.382000e+13 1.391744 1.571871 0.0000 1.000000 0.655332 8.359168 9.429567 8.096646
1.379000e+13 1.392292 1.572453 0.0000 1.000000 0.655265 8.361146 9.432182 8.098558
1.350000e+13 1.397649 1.578153 0.0000 1.000000 0.654602 8.380397 9.457677 8.117210
1.349000e+13 1.397836 1.578352 0.0000 1.000000 0.654578 8.381068 9.458567 8.117860
1.338000e+13 1.399903 1.580550 0.0000 1.000000 0.654324 8.388499 9.468406 8.125053
1.333000e+13 1.400849 1.581556 0.0000 1.000000 0.654207 8.391899 9.472909 8.128344
1.326000e+13 1.402179 1.582971 0.0000 1.000000 0.654043 8.396672 9.479234 8.132970
1.322000e+13 1.402943 1.583783 0.0000 1.000000 0.653950 8.399419 9.482871 8.135628
1.322000e+13 1.402943 1.583783 0.0000 1.000000 0.653950 8.399419 9.482871 8.135628
1.300000e+13 1.407189 1.588299 0.0000 1.000000 0.653428 8.414655 9.503061 8.150386
1.296000e+13 1.407970 1.589129 0.0000 1.000000 0.653332 8.417461 9.506778 8.153101
1.294000e+13 1.408361 1.589545 0.0000 1.000000 0.653284 8.418862 9.508636 8.154460
1.288000e+13 1.409538 1.590797 0.0000 1.000000 0.653140 8.423081 9.514228 8.158544
1.288000e+13 1.409538 1.590797 0.0000 1.000000 0.653140 8.423081 9.514228 8.158544
1.284000e+13 1.410327 1.591635 0.0000 1.000000 0.653044 8.425917 9.517985 8.161287
1.279000e+13 1.411316 1.592687 0.0000 1.000000 0.652922 8.429461 9.522683 8.164721
1.272000e+13 1.412708 1.594167 0.0000 1.000000 0.652752 8.434451 9.529299 8.169552
1.268000e+13 1.413507 1.595017 0.0000 1.000000 0.652654 8.437312 9.533093 8.172325
1.268000e+13 1.413507 1.595017 0.0000 1.000000 0.652654 8.437312 9.533093 8.172325
1.261000e+13 1.414913 1.596511 0.0000 1.000000 0.652483 8.442357 9.539779 8.177208
1.259000e+13 1.415316 1.596939 0.0000 1.000000 0.652435 8.443804 9.541696 8.178606
1.255000e+13 1.416124 1.597798 0.0000 1.000000 0.652336 8.446699 9.545535 8.181407
1.251000e+13 1.416935 1.598661 0.0000 1.000000 0.652237 8.449598 9.549383 8.184221
1.249000e+13 1.417342 1.599093 0.0000 1.000000 0.652187 8.451061 9.551320 8.185634
1.242000e+13 1.418771 1.600612 0.0000 1.000000 0.652014 8.456180 9.558108 8.190590
1.237000e+13 1.419797 1.601702 0.0000 1.000000 0.651889 8.459859 9.562985 8.194149
1.236000e+13 1.420003 1.601921 0.0000 1.000000 0.651864 8.460596 9.563963 8.194864
1.233000e+13 1.420621 1.602578 0.0000 1.000000 0.651789 8.462808 9.566897 8.197006
1.233000e+13 1.420621 1.602578 0.0000 1.000000 0.651789 8.462808 9.566897 8.197006
1.230000e+13 1.421241 1.603237 0.0000 1.000000 0.651714 8.465028 9.569841 8.199155
1.210000e+13 1.425416 1.607675 0.0000 1.000000 0.651207 8.479964 9.589659 8.213619
1.203000e+13 1.426896 1.609247 0.0000 1.000000 0.651029 8.485265 9.596689 8.218747
1.198000e+13 1.427958 1.610376 0.0000 1.000000 0.650900 8.489060 9.601727 8.222423
1.197000e+13 1.428171 1.610603 0.0000 1.000000 0.650874 8.489817 9.602734 8.223160
1.188000e+13 1.430098 1.612650 0.0000 1.000000 0.650641 8.496712 9.611882 8.229833
1.185000e+13 1.430743 1.613336 0.0000 1.000000 0.650563 8.499013 9.614938 8.232065
