Mass[M_sun/h] z D(z) sigma(M,0) sigma(0.5M,0) sigma(0.14M,0)
2.142000e+14 0.00 1.000000 0.793396 0.927016 1.203856
2.002000e+14 0.00 1.000000 0.805889 0.940698 1.219674
1.302000e+14 0.00 1.000000 0.888132 1.030480 1.322949
1.120000e+14 0.00 1.000000 0.918024 1.062996 1.360141
1.012000e+14 0.00 1.000000 0.938478 1.085211 1.385490
9.870000e+13 0.00 1.000000 0.943563 1.090730 1.391781
9.636000e+13 0.00 1.000000 0.948456 1.096039 1.397829
9.304000e+13 0.00 1.000000 0.955633 1.103822 1.406691
8.346000e+13 0.00 1.000000 0.978069 1.128137 1.434340
7.946000e+13 0.00 1.000000 0.988307 1.139222 1.446928
7.432000e+13 0.00 1.000000 1.002345 1.154411 1.464158
7.413000e+13 0.00 1.000000 1.002885 1.154995 1.464819
7.289000e+13 0.00 1.000000 1.006444 1.158845 1.469183
7.245000e+13 0.00 1.000000 1.007724 1.160228 1.470751
7.014000e+13 0.00 1.000000 1.014587 1.167648 1.479157
6.891000e+13 0.00 1.000000 1.018345 1.171710 1.483756
6.874000e+13 0.00 1.000000 1.018871 1.172277 1.484399
6.514000e+13 0.00 1.000000 1.030349 1.184678 1.498432
6.497000e+13 0.00 1.000000 1.030908 1.185282 1.499115
6.463000e+13 0.00 1.000000 1.032032 1.186496 1.500488
6.257000e+13 0.00 1.000000 1.038985 1.194004 1.508976
6.108000e+13 0.00 1.000000 1.044176 1.199606 1.515308
5.955000e+13 0.00 1.000000 1.049655 1.205518 1.521986
5.928000e+13 0.00 1.000000 1.050638 1.206579 1.523184
5.835000e+13 0.00 1.000000 1.054063 1.210274 1.527357
5.774000e+13 0.00 1.000000 1.056343 1.212733 1.530133
5.496000e+13 0.00 1.000000 1.067084 1.224316 1.543201
5.048000e+13 0.00 1.000000 1.085734 1.244412 1.565851
4.978000e+13 0.00 1.000000 1.088814 1.247729 1.569587
4.925000e+13 0.00 1.000000 1.091178 1.250275 1.572453
4.919000e+13 0.00 1.000000 1.091448 1.250565 1.572780
4.898000e+13 0.00 1.000000 1.092394 1.251584 1.573926
4.572000e+13 0.00 1.000000 1.107684 1.268042 1.592442
4.564000e+13 0.00 1.000000 1.108074 1.268461 1.592914
4.459000e+13 0.00 1.000000 1.113269 1.274050 1.599197
4.385000e+13 0.00 1.000000 1.117012 1.278076 1.603721
4.262000e+13 0.00 1.000000 1.123392 1.284936 1.611428
4.222000e+13 0.00 1.000000 1.125510 1.287214 1.613987
4.164000e+13 0.00 1.000000 1.128623 1.290559 1.617743
4.089000e+13 0.00 1.000000 1.132719 1.294962 1.622686
3.999000e+13 0.00 1.000000 1.137746 1.300364 1.628748
3.963000e+13 0.00 1.000000 1.139792 1.302563 1.631215
3.962000e+13 0.00 1.000000 1.139849 1.302624 1.631284
3.924000e+13 0.00 1.000000 1.142032 1.304969 1.633915
3.904000e+13 0.00 1.000000 1.143191 1.306214 1.635310
3.897000e+13 0.00 1.000000 1.143598 1.306651 1.635801
3.892000e+13 0.00 1.000000 1.143889 1.306964 1.636151
3.886000e+13 0.00 1.000000 1.144239 1.307339 1.636573
3.800000e+13 0.00 1.000000 1.149322 1.312799 1.642695
3.678000e+13 0.00 1.000000 1.156755 1.320781 1.651641
3.674000e+13 0.00 1.000000 1.157004 1.321047 1.651940
3.464000e+13 0.00 1.000000 1.170479 1.335510 1.668139
3.376000e+13 0.00 1.000000 1.176398 1.341859 1.675245
3.354000e+13 0.00 1.000000 1.177904 1.343475 1.677053
3.343000e+13 0.00 1.000000 1.178661 1.344287 1.677962
3.324000e+13 0.00 1.000000 1.179976 1.345697 1.679539
3.301000e+13 0.00 1.000000 1.181578 1.347415 1.681462
3.208000e+13 0.00 1.000000 1.188185 1.354500 1.689386
3.200000e+13 0.00 1.000000 1.188763 1.355120 1.690079
3.123000e+13 0.00 1.000000 1.194412 1.361175 1.696848
3.122000e+13 0.00 1.000000 1.194486 1.361254 1.696937
3.051000e+13 0.00 1.000000 1.199835 1.366986 1.703343
3.046000e+13 0.00 1.000000 1.200217 1.367396 1.703800
3.045000e+13 0.00 1.000000 1.200293 1.367477 1.703892
3.044000e+13 0.00 1.000000 1.200370 1.367559 1.703983
3.010000e+13 0.00 1.000000 1.202986 1.370363 1.707116
2.987000e+13 0.00 1.000000 1.204775 1.372280 1.709257
2.918000e+13 0.00 1.000000 1.210234 1.378128 1.715788
2.864000e+13 0.00 1.000000 1.214607 1.382811 1.721016
2.861000e+13 0.00 1.000000 1.214852 1.383074 1.721310
2.816000e+13 0.00 1.000000 1.218571 1.387056 1.725754
2.800000e+13 0.00 1.000000 1.219909 1.388488 1.727352
2.765000e+13 0.00 1.000000 1.222865 1.391653 1.730884
2.760000e+13 0.00 1.000000 1.223290 1.392109 1.731393
2.638000e+13 0.00 1.000000 1.233949 1.403517 1.744116
2.548000e+13 0.00 1.000000 1.242167 1.412310 1.753917
2.535000e+13 0.00 1.000000 1.243380 1.413608 1.755363
2.499000e+13 0.00 1.000000 1.246777 1.417240 1.759410
2.456000e+13 0.00 1.000000 1.250904 1.421655 1.764328
2.425000e+13 0.00 1.000000 1.253930 1.424890 1.767931
2.416000e+13 0.00 1.000000 1.254817 1.425838 1.768986
2.407000e+13 0.00 1.000000 1.255707 1.426790 1.770046
2.377000e+13 0.00 1.000000 1.258700 1.429990 1.773609
2.364000e+13 0.00 1.000000 1.260010 1.431391 1.775168
2.255000e+13 0.00 1.000000 1.271318 1.443476 1.788616
2.205000e+13 0.00 1.000000 1.276707 1.449234 1.795020
2.186000e+13 0.00 1.000000 1.278791 1.451460 1.797495
2.129000e+13 0.00 1.000000 1.285163 1.458266 1.805061
2.115000e+13 0.00 1.000000 1.286756 1.459968 1.806953
2.109000e+13 0.00 1.000000 1.287443 1.460701 1.807768
2.079000e+13 0.00 1.000000 1.290909 1.464401 1.811880
2.069000e+13 0.00 1.000000 1.292076 1.465648 1.813265
2.049000e+13 0.00 1.000000 1.294429 1.468160 1.816056
1.975000e+13 0.00 1.000000 1.303362 1.477695 1.826645
1.913000e+13 0.00 1.000000 1.311134 1.485989 1.835851
1.907000e+13 0.00 1.000000 1.311901 1.486807 1.836759
1.889000e+13 0.00 1.000000 1.314217 1.489278 1.839502
1.889000e+13 0.00 1.000000 1.314217 1.489278 1.839502
1.887000e+13 0.00 1.000000 1.314476 1.489554 1.839808
1.869000e+13 0.00 1.000000 1.316820 1.492054 1.842581
1.827000e+13 0.00 1.000000 1.322385 1.497990 1.849166
1.823000e+13 0.00 1.000000 1.322923 1.498564 1.849802
1.803000e+13 0.00 1.000000 1.325629 1.501450 1.853003
1.796000e+13 0.00 1.000000 1.326584 1.502468 1.854132
1.793000e+13 0.00 1.000000 1.326995 1.502906 1.854617
1.743000e+13 0.00 1.000000 1.333950 1.510322 1.862838
1.724000e+13 0.00 1.000000 1.336651 1.513201 1.866028
1.723000e+13 0.00 1.000000 1.336794 1.513353 1.866197
1.686000e+13 0.00 1.000000 1.342152 1.519064 1.872526
1.659000e+13 0.00 1.000000 1.346144 1.523318 1.877238
1.657000e+13 0.00 1.000000 1.346442 1.523636 1.877590
1.634000e+13 0.00 1.000000 1.349904 1.527324 1.881675
1.626000e+13 0.00 1.000000 1.351120 1.528620 1.883110
1.616000e+13 0.00 1.000000 1.352650 1.530250 1.884915
1.613000e+13 0.00 1.000000 1.353111 1.530742 1.885459
1.601000e+13 0.00 1.000000 1.354964 1.532716 1.887645
1.601000e+13 0.00 1.000000 1.354964 1.532716 1.887645
1.600000e+13 0.00 1.000000 1.355120 1.532881 1.887828
1.596000e+13 0.00 1.000000 1.355741 1.533543 1.888561
1.593000e+13 0.00 1.000000 1.356209 1.534041 1.889112
1.573000e+13 0.00 1.000000 1.359349 1.537386 1.892814
1.573000e+13 0.00 1.000000 1.359349 1.537386 1.892814
1.572000e+13 0.00 1.000000 1.359507 1.537555 1.893001
1.561000e+13 0.00 1.000000 1.361254 1.539416 1.895060
1.551000e+13 0.00 1.000000 1.362854 1.541120 1.896946
1.543000e+13 0.00 1.000000 1.364143 1.542492 1.898465
1.540000e+13 0.00 1.000000 1.364628 1.543008 1.899036
1.538000e+13 0.00 1.000000 1.364952 1.543353 1.899418
1.531000e+13 0.00 1.000000 1.366089 1.544564 1.900758
1.528000e+13 0.00 1.000000 1.366578 1.545085 1.901334
1.527000e+13 0.00 1.000000 1.366741 1.545259 1.901526
1.516000e+13 0.00 1.000000 1.368545 1.547179 1.903651
1.514000e+13 0.00 1.000000 1.368875 1.547530 1.904039
1.498000e+13 0.00 1.000000 1.371528 1.550355 1.907164
1.494000e+13 0.00 1.000000 1.372196 1.551067 1.907951
1.479000e+13 0.00 1.000000 1.374719 1.553753 1.910922
1.465000e+13 0.00 1.000000 1.377100 1.556287 1.913724
1.455000e+13 0.00 1.000000 1.378816 1.558113 1.915743
1.451000e+13 0.00 1.000000 1.379505 1.558847 1.916555
1.424000e+13 0.00 1.000000 1.384217 1.563862 1.922098
1.416000e+13 0.00 1.000000 1.385632 1.565367 1.923763
1.396000e+13 0.00 1.000000 1.389208 1.569172 1.927968
1.382000e+13 0.00 1.000000 1.391744 1.571871 1.930950
1.379000e+13 0.00 1.000000 1.392292 1.572453 1.931593
1.350000e+13 0.00 1.000000 1.397649 1.578153 1.937889
1.349000e+13 0.00 1.000000 1.397836 1.578352 1.938109
1.338000e+13 0.00 1.000000 1.399903 1.580550 1.940537
1.333000e+13 0.00 1.000000 1.400849 1.581556 1.941648
1.326000e+13 0.00 1.000000 1.402179 1.582971 1.943210
1.322000e+13 0.00 1.000000 1.402943 1.583783 1.944107
1.322000e+13 0.00 1.000000 1.402943 1.583783 1.944107
